date,month,state_code,state_name,year,yyyymm,.geo,precip_mm,t2m_c
1981-02-01,2,678,Para,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}",251.11574450694712,24.615493607072917
1981-02-01,2,679,Paraiba,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}",44.57369152493433,26.29317415457861
1981-02-01,2,680,Parana,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}",149.0558890410706,23.34037860501009
1981-02-01,2,681,Pernambuco,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}",23.06531987586795,25.49087835627681
1981-02-01,2,682,Piaui,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}",51.061451388804535,26.33490352746892
1981-02-01,2,683,Rio De Janeiro,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}",95.56183879298976,24.13916703028532
1981-02-01,2,684,Rio Grande Do Norte,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}",50.77503948389139,27.437638246688845
1981-02-01,2,685,Rio Grande Do Sul,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}",190.9191124535852,23.94663290164833
1981-02-01,2,686,Rondonia,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}",277.69120918375654,24.72801713745607
1981-02-01,2,687,Roraima,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}",117.79006376640508,25.00445820346945
1981-02-01,2,688,Santa Catarina,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}",162.73429730493962,22.023069649637108
1981-02-01,2,689,Sao Paulo,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}",115.77231478299926,24.34185723022218
1981-02-01,2,690,Sergipe,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}",30.64058919861032,25.77200264160019
1981-02-01,2,691,Tocantins,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}",130.14315978960923,26.096434413233613
1981-03-01,3,665,Acre,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",272.54938615813285,24.777252116652026
1981-03-01,3,666,Alagoas,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",211.33730230434617,25.580362104111547
1981-03-01,3,667,Amapa,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",181.13560138978903,25.462365343507496
1981-03-01,3,668,Amazonas,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",267.29284040192266,25.80506348470233
1981-03-01,3,669,Bahia,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",296.6445330356672,24.29726055426191
1981-03-01,3,670,Ceara,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",317.732938508927,25.66715571387949
1981-03-01,3,671,Distrito Federal,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",290.4214561031033,21.7747074889345
1981-03-01,3,672,Espirito Santo,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",197.56567556624896,23.74860300680669
1981-03-01,3,673,Goias,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",275.61195300281645,23.611932392392763
1981-03-01,3,674,Maranhao,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",244.36921124494955,25.2927627041782
