date,month,precip_mm,state_code,state_name,t2m_c,year,yyyymm,.geo
1981-02-01,2,263.30352599537565,944,Cauca,17.687638327272843,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,42.061637708371485,945,Cesar,25.324255676609663,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,376.5122646045963,946,Choco,23.64684704252112,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,76.35266224618508,947,Cordoba,25.63658011848872,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,97.84392258848878,948,Cundinamarca,17.01532855174083,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,197.2545985776297,949,Guainia,24.904737807787768,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,29.6931099400981,950,Guajira,24.46832044243673,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,241.1382773465446,951,Guaviare,25.0309527436242,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,114.97242224429782,952,Huila,18.10497085927047,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,38.768097062803385,953,Magdalena,26.228600347426664,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,130.5647458482637,954,Meta,25.439257503457704,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,296.3161424111934,955,Narino,19.247439233255083,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,129.4509883608968,956,Norte De Santander,19.78673391319965,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,311.53537794995367,957,Putumayo,23.32033760852423,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,149.82818927448218,958,Quindio,15.828113190308114,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,228.67671453490087,959,Risaralda,17.027615845552724,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,122.0913073676156,961,Santander,20.494433662833696,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,42.043399924575375,962,Sucre,27.140143523538665,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,150.8983227691725,963,Tolima,19.09446098588604,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,192.75494162747304,964,Valle Del Cauca,18.63240485202278,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,301.98564646621435,965,Vaupes,24.659413386339164,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-02-01,2,131.80481746488448,966,Vichada,26.851572508218435,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,273.1120856844408,934,Amazonas,25.95761631208145,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,182.71634541805776,935,Antioquia,20.96858920912045,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,64.33732241895392,936,Arauca,26.09468497237433,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,15.012730005763768,937,Atlantico,27.51386908427321,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,71.3661877531286,938,Bolivar,25.5487224005699,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,76.66852809273178,939,Boyaca,15.465825594037732,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,456.99793815612793,940,Buenaventura,,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,216.51853586929772,941,Caldas,17.73363114179437,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,218.84709979223797,942,Caqueta,25.78295047826288,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,92.70906715005228,943,Casanare,26.77164813416958,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,299.4433467842874,944,Cauca,18.2323635660121,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,59.42115147732099,945,Cesar,24.69651776743121,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,421.3353061661859,946,Choco,23.96514143602272,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,85.30258678134929,947,Cordoba,25.544700253517355,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,96.28716701988142,948,Cundinamarca,17.335949804179183,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,235.24596850610047,949,Guainia,26.323574636060187,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,11.08123472663981,950,Guajira,25.187194411320057,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,175.75295462195115,951,Guaviare,26.14869360311321,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,155.51940698345098,952,Huila,18.358858596784195,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,49.37230312471334,953,Magdalena,25.454584900413828,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,128.93649012890762,954,Meta,25.518540455991594,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,373.0939807888685,955,Narino,19.77185353859466,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,84.75639892128092,956,Norte De Santander,20.25861830937387,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,282.87470650966503,957,Putumayo,24.78228378899462,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,230.7437893279284,958,Quindio,16.21362370021652,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,250.70437197922664,959,Risaralda,17.314023772522926,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,141.95963289583656,961,Santander,20.66162299544571,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,47.59301513938872,962,Sucre,26.81145177663132,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,139.57718331140418,963,Tolima,18.969927167845604,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,224.39293779932797,964,Valle Del Cauca,19.195723815249718,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,238.74682568822388,965,Vaupes,25.84693912387681,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-03-01,3,95.6397263074807,966,Vichada,26.93955139441205,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,308.51842364616704,934,Amazonas,25.10798291224966,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,362.8389609810599,935,Antioquia,21.00442472714942,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,382.97542649552616,936,Arauca,24.42557332834695,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,81.68209838304391,937,Atlantico,26.963098891247405,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,252.4942631267773,938,Bolivar,25.30444600782872,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,290.8475123225335,939,Boyaca,15.15495517924328,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,596.6625032424927,940,Buenaventura,,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,350.68635907119733,941,Caldas,17.739053038405924,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,339.7318708634178,942,Caqueta,24.325660911845283,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,381.7562601463444,943,Casanare,25.34537009757493,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,399.3390662436817,944,Cauca,18.32257003657826,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,237.2360076495584,945,Cesar,24.597994959282317,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,486.8298169558773,946,Choco,24.099231968115927,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,223.09670619806585,947,Cordoba,25.51343760480327,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,268.7820460607137,948,Cundinamarca,17.101393621003368,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,273.84958612158664,949,Guainia,25.01836349563869,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,140.11153256548744,950,Guajira,24.33364696241892,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,314.5226246380811,951,Guaviare,24.75672749142273,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,199.48509404151656,952,Huila,18.05222324450309,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,216.15638626058464,953,Magdalena,25.24306424680062,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,334.26890419265123,954,Meta,24.1554484444925,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,376.2231506888403,955,Narino,19.90910227664213,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,409.5318140165526,956,Norte De Santander,19.690189559499466,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,374.4385059341189,957,Putumayo,23.719595370439308,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,324.14869831344976,958,Quindio,16.44044217641832,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,398.15723613235474,959,Risaralda,17.559474537241904,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,315.0211464891309,961,Santander,20.619863839418286,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,172.03677797202337,962,Sucre,26.57451537810454,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,270.7472437260395,963,Tolima,18.89019721680883,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,408.2693088057694,964,Valle Del Cauca,19.38051155390854,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,342.23414483304,965,Vaupes,24.81733303405703,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-04-01,4,326.6261299348292,966,Vichada,25.659243594829025,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,311.72660963754976,934,Amazonas,24.819459327074085,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,441.3503320093872,935,Antioquia,20.81626359435317,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,412.2634818807238,936,Arauca,23.58756383976413,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,194.03987205578824,937,Atlantico,26.411504039451128,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,343.98747717221926,938,Bolivar,24.70488436759236,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,311.296949022818,939,Boyaca,14.748696648233178,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,934.7115602493286,940,Buenaventura,,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,404.5840829917021,941,Caldas,17.554625861261037,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,349.48693360924995,942,Caqueta,23.763034396892955,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,385.6223538048207,943,Casanare,24.31759774857689,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,385.32301259849226,944,Cauca,18.177381069874077,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,376.0122910944037,945,Cesar,23.678178802148096,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,488.85546306234727,946,Choco,23.958206459537337,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,354.6917844957413,947,Cordoba,25.046314108343772,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,314.0468846884376,948,Cundinamarca,16.6092787502834,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,338.4625763405928,949,Guainia,24.69151784922172,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,225.0448054474301,950,Guajira,24.84148976237897,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,360.7411535310181,951,Guaviare,24.23551922588774,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,256.92026078522923,952,Huila,17.569221947603683,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,304.8236111699953,953,Magdalena,24.172113831352775,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,470.9461783073409,954,Meta,23.518008058634184,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1981-05-01,5,270.8520616628013,955,Narino,19.78987426194853,1981,198105,"{""type"":""MultiPoint"",""coordinates"":[]}"
