system:index,month,precip_mm,state_code,state_name,t2m_c,year,yyyymm,.geo
0_00030000000000000088,1,282.14941991219206,934,Amazonas,24.947260616194363,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000089,1,167.19850007699318,935,Antioquia,20.4680880848165,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000008a,1,15.435459549662244,936,Arauca,24.752964730791874,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000008b,1,14.957252310627064,937,Atlantico,26.25289044772592,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000008c,1,70.37083054551644,938,Bolivar,24.744685989685163,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000008d,1,73.45344936913989,939,Boyaca,14.37335199011566,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000008e,1,404.31328296661377,940,Buenaventura,,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000008f,1,205.00215608247143,941,Caldas,17.211918598276878,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000090,1,181.65480047388442,942,Caqueta,24.194632621788536,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000091,1,19.60420943083493,943,Casanare,26.047052176983176,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000092,1,288.07908721494607,944,Cauca,17.66406635815325,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000093,1,36.52187972064866,945,Cesar,24.277036650639264,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000094,1,380.8042408038109,946,Choco,23.73230936616378,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000095,1,81.00980866661914,947,Cordoba,24.9333129351159,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000096,1,90.79538339359164,948,Cundinamarca,16.686800829314635,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000097,1,189.25839165394817,949,Guainia,24.861235110966117,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000098,1,13.237114351328346,950,Guajira,24.58601360324858,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000099,1,140.53751958545763,951,Guaviare,24.71350352106908,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000009a,1,104.61493693636781,952,Huila,17.633821986471926,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000009b,1,40.12765128932712,953,Magdalena,24.790628554409007,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000009c,1,80.4080577074531,954,Meta,24.517968677952155,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000009d,1,304.26116154717073,955,Narino,19.209756126700107,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000009e,1,83.52498890993373,956,Norte De Santander,19.107473515361566,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000009f,1,282.5904416377113,957,Putumayo,23.42230282392172,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000a0,1,135.32895389573042,958,Quindio,15.728971874327238,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000a1,1,228.9561792366492,959,Risaralda,17.08514464221171,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000a2,1,,960,San Andres Y Providencia,,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000a3,1,134.2132339324032,961,Santander,19.993056450360637,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000a4,1,25.123048406312336,962,Sucre,25.96428638226872,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000a5,1,138.15612236421438,963,Tolima,18.560036377386755,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000a6,1,224.19493413572758,964,Valle Del Cauca,18.680251023719286,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000a7,1,254.97535742087737,965,Vaupes,24.68364430431745,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000a8,1,64.27253091215884,966,Vichada,26.150764008962653,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00030000000000000088,2,268.73177992533215,934,Amazonas,25.035427567925055,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00030000000000000089,2,55.92052849225311,935,Antioquia,20.90796683958672,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0003000000000000008a,2,9.81687027686671,936,Arauca,26.131082882982156,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0003000000000000008b,2,3.246790977526136,937,Atlantico,27.01014985012051,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0003000000000000008c,2,21.48866625395905,938,Bolivar,25.60412540319464,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0003000000000000008d,2,40.90707941023221,939,Boyaca,14.787602878430288,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0003000000000000008e,2,368.6623344421387,940,Buenaventura,,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0003000000000000008f,2,122.43939972751792,941,Caldas,17.615833545184806,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00030000000000000090,2,160.8447052538425,942,Caqueta,24.25276824937252,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00030000000000000091,2,24.337761171868582,943,Casanare,26.87856532818354,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00030000000000000092,2,232.78626848721942,944,Cauca,17.796772335832188,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00030000000000000093,2,16.83872275745165,945,Cesar,25.270454844375656,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00030000000000000094,2,237.0836735152357,946,Choco,24.188568188612546,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00030000000000000095,2,22.05475387919775,947,Cordoba,25.890582048720912,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00030000000000000096,2,69.86421775852915,948,Cundinamarca,16.95722541284157,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00030000000000000097,2,134.69120697370838,949,Guainia,25.14208094962346,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00030000000000000098,2,7.806935445830474,950,Guajira,24.71385186408831,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00030000000000000099,2,124.01929339517451,951,Guaviare,24.86979724426655,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0003000000000000009a,2,152.1650687086859,952,Huila,17.786937856315404,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0003000000000000009b,2,13.731473684141362,953,Magdalena,25.796320020256427,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0003000000000000009c,2,83.30409301015709,954,Meta,24.88161659212498,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0003000000000000009d,2,259.17591196415225,955,Narino,19.281147020459986,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0003000000000000009e,2,40.642433980097536,956,Norte De Santander,19.693880039180446,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0003000000000000009f,2,262.7589616618546,957,Putumayo,23.44573191764111,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000a0,2,114.33565125915804,958,Quindio,16.079292172298562,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000a1,2,116.97078738524411,959,Risaralda,17.258334885433563,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000a2,2,,960,San Andres Y Providencia,,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000a3,2,53.629672143879944,961,Santander,20.360358575448554,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000a4,2,15.55295055889661,962,Sucre,27.10793015194383,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000a5,2,130.30293454919638,963,Tolima,18.963421341514092,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000a6,2,173.6867211123453,964,Valle Del Cauca,18.96406853360781,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000a7,2,216.64664162144834,965,Vaupes,24.921553830937302,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000a8,2,51.951896392954986,966,Vichada,26.855654894715162,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00030000000000000088,3,355.35966849921465,934,Amazonas,24.43885663408435,1993,199303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00030000000000000089,3,199.22710299773829,935,Antioquia,20.968732341916585,1993,199303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0003000000000000008a,3,91.26066264429598,936,Arauca,25.02633184101827,1993,199303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0003000000000000008b,3,15.538651647116883,937,Atlantico,27.270254146926753,1993,199303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0003000000000000008c,3,105.95757185510676,938,Bolivar,25.594032469692614,1993,199303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0003000000000000008d,3,125.74516827288615,939,Boyaca,14.75502329768356,1993,199303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0003000000000000008e,3,404.5764765739441,940,Buenaventura,,1993,199303,"{""type"":""MultiPoint"",""coordinates"":[]}"
