system:index,month,precip_mm,state_code,state_name,t2m_c,year,yyyymm,.geo
0_00030000000000000088,1,232.1299686180283,934,Amazonas,25.264319028232737,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000089,1,88.09958065187888,935,Antioquia,20.579621561265053,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000008a,1,7.548381080076806,936,Arauca,25.530894115130017,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000008b,1,4.429851252687917,937,Atlantico,26.613022071508354,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000008c,1,25.172007569217385,938,Bolivar,25.191735938611632,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000008d,1,45.510884775064795,939,Boyaca,14.478915039666887,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000008e,1,343.384069442749,940,Buenaventura,,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000008f,1,164.72330086610668,941,Caldas,17.256780248645132,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000090,1,78.5425097038037,942,Caqueta,25.52409427965966,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000091,1,7.521285479623583,943,Casanare,26.922476939309472,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000092,1,313.91006376702194,944,Cauca,17.689602698819456,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000093,1,16.5090562288892,945,Cesar,23.92011603954666,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000094,1,300.2878963434561,946,Choco,23.77646371696565,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000095,1,30.11564071765381,947,Cordoba,25.35095772915697,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000096,1,72.80540402157413,948,Cundinamarca,16.63763564993115,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000097,1,98.98896387144357,949,Guainia,25.849405402917025,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000098,1,6.818705740002599,950,Guajira,24.015031159989903,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000099,1,43.86538183768277,951,Guaviare,26.485279500386792,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000009a,1,141.2956920959347,952,Huila,17.752188652838278,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000009b,1,17.429215867995534,953,Magdalena,25.049729156893893,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000009c,1,24.972910692458765,954,Meta,26.13974226779085,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000009d,1,301.15583721098454,955,Narino,19.104844506274397,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000009e,1,49.69595586722589,956,Norte De Santander,18.844534237770286,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0003000000000000009f,1,147.19725753809436,957,Putumayo,24.233601466786446,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000a0,1,164.5909504244246,958,Quindio,15.638156817105338,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000a1,1,165.20651120789574,959,Risaralda,16.98017164177378,1994,199401,"{""type"":""MultiPoint"",""coordinates"":[]}"
