,year,month,spei3,spei6,spei12,date_t
0,1981,1,,,,1981-01-01
1,1981,2,,,,1981-02-01
2,1981,3,0.09780812837999224,,,1981-03-01
3,1981,4,0.1920333705857925,,,1981-04-01
4,1981,5,0.8241823953547255,,,1981-05-01
5,1981,6,1.0438890260326663,0.5145421811764583,,1981-06-01
6,1981,7,1.4204449445094067,0.5895367134379349,,1981-07-01
7,1981,8,1.3302546757385958,1.0968996464816847,,1981-08-01
8,1981,9,0.09344313267055816,0.7291487110954967,,1981-09-01
9,1981,10,1.1009420999878043,1.4191714768060202,,1981-10-01
10,1981,11,1.3633019779389375,1.5488856043711794,,1981-11-01
11,1981,12,1.2988475189850481,1.1029159703628848,0.9878288676404663,1981-12-01
12,1982,1,1.1601888847148583,1.30461791478952,1.3478651691679018,1982-01-01
13,1982,2,0.5065334444068722,1.16085284261896,1.3813484631870594,1982-02-01
14,1982,3,1.0403024609141702,1.5477330966378322,1.5902658710265916,1982-03-01
15,1982,4,0.8494370797108186,1.319789505450515,1.6106515106939465,1982-04-01
16,1982,5,1.3302187439131123,1.0840291087383254,1.6148081152176597,1982-05-01
17,1982,6,0.945543095808582,1.1701769148933403,1.498822385186751,1982-06-01
18,1982,7,0.6606011935173753,0.9039245150772037,1.4925374773637925,1982-07-01
19,1982,8,0.2502276374916506,1.1755593432826585,1.451069227007257,1982-08-01
20,1982,9,0.21508652372631215,0.7640783415447259,1.5418974098779032,1982-09-01
21,1982,10,0.3203928990231824,0.473094800780186,1.2391228653018733,1982-10-01
22,1982,11,-0.49812828770864565,-0.5372001592596383,0.6797672380855627,1982-11-01
23,1982,12,-0.43301097269073824,-0.3852953419821305,0.640269564033333,1982-12-01
24,1983,1,0.13272563343571353,0.2369667373914427,0.6297105535534818,1983-01-01
25,1983,2,0.915658418796627,0.5276470420001997,0.9239195530182039,1983-02-01
26,1983,3,1.006796004918769,0.6333733767002534,0.8448376346980134,1983-03-01
27,1983,4,1.0510839394684914,0.8469210102375069,0.8576551836265576,1983-04-01
28,1983,5,0.9251443782851028,1.242601329889579,0.8214395112170267,1983-05-01
29,1983,6,0.9515210101269165,1.2350311424806812,0.7887427848956888,1983-06-01
30,1983,7,0.40311840488209144,1.062713595652984,0.8235763095874746,1983-07-01
31,1983,8,0.004302787787401006,0.776500008771389,0.8149374749066222,1983-08-01
32,1983,9,0.8604052017103713,1.2433978441154458,0.8953852412199056,1983-09-01
33,1983,10,1.0644790515405882,1.0246699732861746,1.0395770403740028,1983-10-01
34,1983,11,1.052701723252625,0.9104320226912553,1.2873790060865498,1983-11-01
35,1983,12,1.031391900814959,1.1239697129955215,1.3572209855104185,1983-12-01
36,1984,1,0.22099175283596129,0.6627310608408435,1.022224667638442,1984-01-01
37,1984,2,-0.28585627263881913,0.5255929010805587,0.7472333171319082,1984-02-01
38,1984,3,-0.7277794466536435,0.07877795766671275,0.5544245450701992,1984-03-01
39,1984,4,-0.35652020037251053,-0.13452176559231968,0.4373589363745056,1984-04-01
40,1984,5,-0.12638450554270708,-0.3392971809652955,0.2984554950967807,1984-05-01
41,1984,6,-0.02811750349046658,-0.6771141117793118,0.2729536429875608,1984-06-01
42,1984,7,-0.688250110239583,-0.446836726281895,0.2752105591345533,1984-07-01
43,1984,8,0.41084688835630334,0.08067340514099257,0.424700082115315,1984-08-01
44,1984,9,1.5215672897108605,0.9996629436815604,0.44520845773414697,1984-09-01
45,1984,10,1.241383549053031,0.8128117120529937,0.2695812107426059,1984-10-01
46,1984,11,0.6378535894108726,0.6394979450408724,0.08332764755408252,1984-11-01
47,1984,12,0.3488937970167136,0.8581777585175981,0.04114910633174184,1984-12-01
48,1985,1,1.2319711929751846,1.5381466904816365,1.063805366534499,1985-01-01
49,1985,2,0.9786229024720119,1.1827385797327288,1.0809533409287444,1985-02-01
50,1985,3,0.8238388735441351,1.003125508503223,1.3096815779139581,1985-03-01
51,1985,4,-0.24116251452758372,0.9428063901656349,1.2037913705917715,1985-04-01
52,1985,5,-0.0015947927846237295,0.8941896251393768,1.1894645724467559,1985-05-01
53,1985,6,-0.35331694830568283,0.6977686794885126,1.162203071722346,1985-06-01
54,1985,7,0.12391342141013345,-0.17759540383156977,1.1738536774882005,1985-07-01
55,1985,8,0.530287641568653,0.14232728114936224,1.1088010695153936,1985-08-01
56,1985,9,0.9632577168642656,0.3204319710271385,0.9966300903932643,1985-09-01
57,1985,10,0.8630238119501961,0.7085828179709155,0.9766293052480719,1985-10-01
58,1985,11,0.6114132508446992,0.6899976950778539,1.001324055694072,1985-11-01
59,1985,12,0.16186916155641715,0.5438177001846384,0.7975269755002535,1985-12-01
60,1986,1,0.062014787018614785,0.43021914550584556,0.22265312966506165,1986-01-01
61,1986,2,0.2303912326670133,0.4792026135446819,0.43670400756143574,1986-02-01
62,1986,3,-0.11358859249422773,0.08051696150627267,0.18616253564162696,1986-03-01
63,1986,4,-0.40184851756162654,-0.1437682408893236,0.12494054083270721,1986-04-01
64,1986,5,-0.6145359949443597,-0.1482889304018199,0.18674543117160314,1986-05-01
65,1986,6,-0.4943011362546477,-0.2401346061314325,0.197444611673461,1986-06-01
66,1986,7,0.3824586096769247,-0.3690433925406435,0.1885956125130778,1986-07-01
67,1986,8,0.9487951436825035,-0.32779175117966747,0.26207178081108945,1986-08-01
68,1986,9,0.7124123203520791,0.07565187083241764,0.13425181510525797,1986-09-01
69,1986,10,0.29605848386910893,0.3053925345250988,0.03604188718549559,1986-10-01
70,1986,11,-0.616778397965504,-0.3179634043058977,-0.2737863241035944,1986-11-01
71,1986,12,-0.2374054210839947,-0.020948985793888836,-0.15990233835499063,1986-12-01
72,1987,1,-0.5318518704924412,-0.23916542851303726,-0.39425841175003945,1987-01-01
73,1987,2,-0.3456739613175309,-0.6340320335849174,-0.6441751791554827,1987-02-01
74,1987,3,-0.5222714227715931,-0.6449370219369385,-0.49163458932884957,1987-03-01
75,1987,4,-0.22591082456485928,-0.511074289733814,-0.3002435397896234,1987-04-01
76,1987,5,0.24180694994968527,-0.059118183079119854,-0.28093839989086367,1987-05-01
77,1987,6,0.4779882386411399,-0.2593315157936674,-0.26214803127883163,1987-06-01
78,1987,7,-0.026757625978927443,-0.10031912685091579,-0.29028983029785355,1987-07-01
79,1987,8,-0.29633318091513083,0.1658791043854461,-0.44771724452588885,1987-08-01
80,1987,9,0.018943561231983486,0.3014183980913749,-0.38693826686479876,1987-09-01
81,1987,10,-0.1612572898016946,-0.16288652685717345,-0.38639868788613774,1987-10-01
82,1987,11,-0.004938038442837396,-0.06848686757431631,-0.04818978382898428,1987-11-01
83,1987,12,-0.08273590993898502,0.012895998538815272,-0.16708169297296158,1987-12-01
84,1988,1,-0.3831934890810349,-0.3054033459212817,-0.31084223283187445,1988-01-01
85,1988,2,-0.15940633770432794,-0.1090871734755186,-0.002612796155644333,1988-02-01
86,1988,3,-0.37736102865275584,-0.2958714877172321,-0.07952234295716769,1988-03-01
87,1988,4,0.06737171553298141,-0.1671267218399619,-0.12503740014548845,1988-04-01
88,1988,5,-0.17159954182546386,-0.17481081636515552,-0.19935660534556462,1988-05-01
89,1988,6,0.13079238691561737,-0.1963995046784673,-0.16332853533511021,1988-06-01
90,1988,7,0.28318232428990325,0.21581195375891973,-0.1239370478026294,1988-07-01
91,1988,8,0.745869359959298,0.13473580720481348,-0.035984345703513144,1988-08-01
92,1988,9,0.06616880779492411,0.0689699481672564,-0.16350888112195452,1988-09-01
93,1988,10,0.3801432148793896,0.3776162255733686,0.09307169790801108,1988-10-01
94,1988,11,-0.06170414614502,0.12640612320742817,0.03828009694743313,1988-11-01
95,1988,12,0.17574949717929472,0.0924547950929545,-0.05256589844473463,1988-12-01
96,1989,1,-0.16172740628537405,-0.06856574784648121,-0.03233010404919181,1989-01-01
97,1989,2,0.07857199093906612,-0.016054723395138824,-0.014271070349626633,1989-02-01
98,1989,3,0.08887616089418358,0.035831806561540155,-0.014738738523447682,1989-03-01
99,1989,4,-0.1432490028714613,-0.3305974267123981,-0.21246255882189008,1989-04-01
100,1989,5,-0.40355083167185735,-0.23495075887680889,-0.1834584478094176,1989-05-01
101,1989,6,-0.2260578614400492,-0.084223716555875,-0.09815200896253626,1989-06-01
102,1989,7,1.0705723462054728,0.2056820177845616,-0.04308352266912879,1989-07-01
103,1989,8,1.4445898719506232,0.22586038473820855,0.01067474519378898,1989-08-01
104,1989,9,0.8888939901801655,0.406792335044774,0.15110155020714927,1989-09-01
105,1989,10,0.6367024862239827,0.874487599108441,0.09739771953725937,1989-10-01
106,1989,11,0.4243798154445775,0.8694447335634966,0.3695678137740573,1989-11-01
107,1989,12,0.6584630837710568,0.9965205786779983,0.614368453892578,1989-12-01
108,1990,1,0.05903221221915756,0.35249157118896973,0.3605641034526523,1990-01-01
