system:index,month,precip_mm,state_code,state_name,t2m_c,year,yyyymm,.geo
0_000300000000000000b8,1,230.22331051425206,665,Acre,25.36990503827587,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,1,172.63724228486825,666,Alagoas,25.028852048453775,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000b9,1,313.6309672238313,667,Amapa,24.642747885287015,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000ba,1,259.48272985483453,668,Amazonas,25.635031756137646,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,1,233.0104604809847,669,Bahia,23.643004941611704,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,1,215.96716234100612,670,Ceara,25.029544598835166,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bb,1,212.67812488095456,671,Distrito Federal,21.79051977532728,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,1,177.7098216695512,672,Espirito Santo,24.08345065198286,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bc,1,300.33557814036664,673,Goias,23.751456156622176,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,1,335.02728475777195,674,Maranhao,24.7121242015803,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bd,1,283.86616939519485,675,Mato Grosso,24.96708419676496,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000be,1,152.74186321021523,676,Mato Grosso Do Sul,26.15552439021704,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,1,240.84025236790515,677,Minas Gerais,23.21144888430524,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,1,,692,Name Unknown,,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bf,1,288.216602090182,678,Para,24.78059943149766,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,1,184.6071455127323,679,Paraiba,25.018007634339188,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c0,1,244.53541237073472,680,Parana,22.570128308278207,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,1,199.36050005996788,681,Pernambuco,24.181374024232746,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,1,281.69584216392724,682,Piaui,24.46642720172545,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,1,189.61699078239795,683,Rio De Janeiro,24.023787294524457,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,1,167.40310036242806,684,Rio Grande Do Norte,26.29767378532863,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c1,1,118.56089721039608,685,Rio Grande Do Sul,23.224497095021686,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c2,1,276.042025747684,686,Rondonia,25.32611277136073,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c3,1,48.76926064866289,687,Roraima,26.084613174229663,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c4,1,178.30109686345853,688,Santa Catarina,21.121730215574726,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,1,262.43158010143964,689,Sao Paulo,23.708925307684783,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,1,174.11740793009773,690,Sergipe,25.035878391517603,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c5,1,385.48196200324367,691,Tocantins,24.646925694039822,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b8,2,290.74814775507076,665,Acre,24.992863525698734,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,2,95.76151270572703,666,Alagoas,25.606866225704227,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b9,2,374.0344818769806,667,Amapa,24.089738539388794,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000ba,2,266.25933788556125,668,Amazonas,25.461297202484843,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,2,100.18901968968778,669,Bahia,24.42727964233588,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
