system:index,month,precip_mm,state_code,state_name,t2m_c,year,yyyymm,.geo
0_000300000000000000b8,1,280.31918274896344,665,Acre,24.712996733858496,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,1,30.63506698913908,666,Alagoas,26.109042434885417,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000b9,1,284.80699344734035,667,Amapa,23.902225536692672,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000ba,1,263.2916059573402,668,Amazonas,24.97788896399272,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,1,49.04079909871099,669,Bahia,25.51298428281801,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,1,56.02643457352287,670,Ceara,26.50314964076825,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bb,1,152.85471774816324,671,Distrito Federal,22.718140711089035,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,1,141.20633411295148,672,Espirito Santo,25.140282709836555,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bc,1,200.99282290276528,673,Goias,24.498780356032817,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,1,133.43715117233282,674,Maranhao,25.20058678680421,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bd,1,262.0457675858488,675,Mato Grosso,25.250796567385606,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000be,1,245.10522878596467,676,Mato Grosso Do Sul,26.27311227542296,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,1,179.81465645998244,677,Minas Gerais,24.0940785341543,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,1,,692,Name Unknown,,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bf,1,205.99057999550794,678,Para,24.61286509429864,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,1,42.839290780085804,679,Paraiba,26.3939396767569,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c0,1,165.9865021899091,680,Parana,23.482174928085968,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,1,46.96885108975554,681,Pernambuco,26.151388728544376,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,1,97.63642609688287,682,Piaui,25.834783738416853,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,1,233.69283887309288,683,Rio De Janeiro,24.888822400204344,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,1,35.305755709032894,684,Rio Grande Do Norte,27.239203779207653,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c1,1,157.6645721680374,685,Rio Grande Do Sul,23.401326407867128,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c2,1,302.7658282468884,686,Rondonia,25.44214204410775,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c3,1,48.33531096602335,687,Roraima,25.130889605784326,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c4,1,202.05194891473622,688,Santa Catarina,21.923333494651736,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,1,272.1103918483206,689,Sao Paulo,24.286476033768643,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,1,24.74952889155038,690,Sergipe,26.317571691061353,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c5,1,192.81292308315759,691,Tocantins,25.42001760068324,1987,198701,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b8,2,232.02660201556407,665,Acre,24.834420499865058,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,2,32.54165940736139,666,Alagoas,26.031849529186992,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b9,2,258.44532088951763,667,Amapa,24.50031001138867,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000ba,2,296.2787261345102,668,Amazonas,25.235370653269122,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,2,46.254572188207504,669,Bahia,26.01296386196744,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,2,82.03552526486234,670,Ceara,26.307394525978964,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bb,2,164.34408045622365,671,Distrito Federal,22.260115699787868,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,2,70.0085728013418,672,Espirito Santo,24.655880636494324,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bc,2,176.03577144126143,673,Goias,24.313023800072113,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,2,161.86312319096595,674,Maranhao,25.378990673152522,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bd,2,216.50184311199192,675,Mato Grosso,25.098809020474498,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000be,2,152.14005771473566,676,Mato Grosso Do Sul,25.070568767452635,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,2,103.20638761535272,677,Minas Gerais,23.813257203101262,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d,2,,692,Name Unknown,,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bf,2,209.13944907519726,678,Para,25.175956502777364,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,2,76.33383572878816,679,Paraiba,26.05977897993261,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c0,2,217.02389081320393,680,Parana,21.88371476225678,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,2,56.0195865558213,681,Pernambuco,26.14258776953196,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,2,110.15491655034997,682,Piaui,26.378707542422646,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009,2,157.11176626071003,683,Rio De Janeiro,24.351537973052203,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a,2,67.61750512929729,684,Rio Grande Do Norte,26.870222897647587,1987,198702,"{""type"":""MultiPoint"",""coordinates"":[]}"
