system:index,month,precip_mm,state_code,state_name,t2m_c,year,yyyymm,.geo
0_000300000000000000b8,1,297.7179216335116,665,Acre,24.571754230012516,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,1,23.532699050152587,666,Alagoas,25.701497767977166,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000b9,1,351.61618976211497,667,Amapa,24.279539913681777,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000ba,1,314.43096286473445,668,Amazonas,25.018384516978948,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,1,36.487037848678106,669,Bahia,24.17493464243924,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,1,20.56743074456488,670,Ceara,26.389823582098234,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bb,1,145.33418204364338,671,Distrito Federal,22.63116984978574,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,1,25.270908037413914,672,Espirito Santo,24.79499196038797,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bc,1,191.1218396757245,673,Goias,24.374815812317845,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,1,126.09755505060785,674,Maranhao,25.72895708564534,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bd,1,265.79164020129195,675,Mato Grosso,24.81748340356689,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000be,1,183.54057251704285,676,Mato Grosso Do Sul,25.850709923759343,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,1,100.44782292916429,677,Minas Gerais,23.909245326252556,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,1,,692,Name Unknown,,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bf,1,197.0243651572278,678,Para,25.00249688939775,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,1,16.727006149714708,679,Paraiba,26.36414498631055,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c0,1,315.34170006038755,680,Parana,22.753596956317608,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,1,17.52000289792114,681,Pernambuco,25.314270080388816,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,1,47.063924668523825,682,Piaui,25.89650746870533,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,1,96.93911957415548,683,Rio De Janeiro,25.582407882228875,1990,199001,"{""type"":""MultiPoint"",""coordinates"":[]}"
