system:index,month,precip_mm,state_code,state_name,year,yyyymm,.geo
0_000300000000000000b8,1,237.79775955463563,665,Acre,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,1,15.853399486709982,666,Alagoas,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000b9,1,295.8754483625307,667,Amapa,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000ba,1,316.6781710503047,668,Amazonas,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,1,23.279502115387544,669,Bahia,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,1,25.7594153244391,670,Ceara,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bb,1,147.6017148257919,671,Distrito Federal,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,1,39.27960873515706,672,Espirito Santo,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bc,1,171.59251154870051,673,Goias,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,1,154.12302557111795,674,Maranhao,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bd,1,270.2611797533602,675,Mato Grosso,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000be,1,182.85792893477313,676,Mato Grosso Do Sul,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,1,114.93339088147933,677,Minas Gerais,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,1,,692,Name Unknown,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bf,1,269.7597886163031,678,Para,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,1,10.794382250818767,679,Paraiba,2006,200601,"{""type"":""MultiPoint"",""coordinates"":[]}"
