system:index,month,precip_mm,state_code,state_name,t2m_c,year,yyyymm,.geo
0_000300000000000000b8,1,221.24058379785896,665,Acre,24.616603672932477,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,1,45.4511723990221,666,Alagoas,26.29271959373703,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000b9,1,249.9369317186031,667,Amapa,24.06866337108923,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000ba,1,358.92109220289797,668,Amazonas,24.94064050657262,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,1,98.51415089123145,669,Bahia,24.51600366430717,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,1,102.02120595858754,670,Ceara,26.618682298107508,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bb,1,207.9130265677012,671,Distrito Federal,21.573942429246543,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,1,218.73322940811778,672,Espirito Santo,24.05587224918292,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bc,1,304.32241741785697,673,Goias,23.52966696989164,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,1,189.42841611837207,674,Maranhao,25.39842989630902,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bd,1,338.8129252155141,675,Mato Grosso,24.611519832698548,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000be,1,261.31679183741534,676,Mato Grosso Do Sul,25.96717843000535,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,1,309.34229647008635,677,Minas Gerais,22.680335637618274,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,1,,692,Name Unknown,,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bf,1,285.28382362537394,678,Para,24.55449383709897,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,1,61.91540724232562,679,Paraiba,26.605342384736204,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c0,1,169.66661130958758,680,Parana,22.71250077550375,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,1,48.68569855795161,681,Pernambuco,25.949309217671388,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,1,142.08573946171077,682,Piaui,25.737510047256468,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,1,243.2790502420936,683,Rio De Janeiro,23.692968214445575,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,1,43.13414138482961,684,Rio Grande Do Norte,27.464323165773703,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c1,1,71.15816667711705,685,Rio Grande Do Sul,25.319871743325383,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c2,1,197.58985283737047,686,Rondonia,24.734547985867195,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c3,1,292.9586522070018,687,Roraima,24.383552877488267,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c4,1,151.6993490296267,688,Santa Catarina,21.526712040443787,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,1,237.58503635048018,689,Sao Paulo,23.178766306131934,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,1,42.684757502573746,690,Sergipe,26.411740655767126,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c5,1,246.3080360321577,691,Tocantins,25.28244916439466,2023,202301,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b8,2,203.5319975015262,665,Acre,24.641462725781274,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,2,36.233597214579,666,Alagoas,26.511433674684906,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b9,2,282.23355391787914,667,Amapa,23.908390043227993,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000ba,2,302.3590864170939,668,Amazonas,25.127354014277707,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,2,32.32787431577184,669,Bahia,25.749680404219163,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,2,127.18563976780912,670,Ceara,26.342556699080394,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bb,2,86.976516466725,671,Distrito Federal,23.171183812283335,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,2,49.59453129297222,672,Espirito Santo,25.2941698434133,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bc,2,172.13407749098621,673,Goias,25.08118224023144,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,2,215.35148148246972,674,Maranhao,25.536870907730712,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bd,2,242.71023277183627,675,Mato Grosso,25.405998328461994,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000be,2,291.28701379783524,676,Mato Grosso Do Sul,25.492635568655356,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,2,107.48462271637617,677,Minas Gerais,24.295241716383075,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d,2,,692,Name Unknown,,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bf,2,293.99076756920203,678,Para,24.82718596476315,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,2,88.74857201068332,679,Paraiba,26.721035240726156,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c0,2,250.27369452615847,680,Parana,22.035515458982204,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,2,60.16237461276063,681,Pernambuco,26.33995221576364,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,2,125.11306090688126,682,Piaui,26.19418703493459,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009,2,197.17719972425502,683,Rio De Janeiro,25.12167178925443,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a,2,87.75155258423968,684,Rio Grande Do Norte,27.76915507248169,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c1,2,96.59710102332396,685,Rio Grande Do Sul,24.018818661283024,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c2,2,175.7624384340748,686,Rondonia,24.952408642641164,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c3,2,127.87774072279943,687,Roraima,24.94170084118002,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c4,2,164.90560071190885,688,Santa Catarina,20.98142606496836,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000b,2,253.06776332443758,689,Sao Paulo,23.71174758334999,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c,2,44.93924673738909,690,Sergipe,26.75987960624333,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c5,2,181.6428315439943,691,Tocantins,26.22592940254455,2023,202302,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000b8,3,374.3279385507684,665,Acre,24.901660509278795,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,3,81.7894612450473,666,Alagoas,26.021287781822632,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000b9,3,255.32189599688633,667,Amapa,24.861721512766735,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000ba,3,334.1072742516573,668,Amazonas,25.575239059233308,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,3,76.18779575114874,669,Bahia,25.063348076985687,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,3,278.5272670038879,670,Ceara,25.389642203136148,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bb,3,130.88604399243286,671,Distrito Federal,22.297848642890354,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,3,50.33185223472207,672,Espirito Santo,25.03583214297567,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bc,3,191.7970819215565,673,Goias,24.2578085612806,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,3,372.6715398074742,674,Maranhao,25.071842910413356,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bd,3,296.3910341427611,675,Mato Grosso,24.819502220230785,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000be,3,197.20546314890942,676,Mato Grosso Do Sul,25.910454589201745,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,3,81.89516986771807,677,Minas Gerais,24.28562287355619,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000d,3,,692,Name Unknown,,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bf,3,376.04733239959256,678,Para,24.76598623983164,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,3,192.5198488195952,679,Paraiba,25.667203545272827,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c0,3,143.29686653689936,680,Parana,22.726289739758005,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000007,3,161.74033081315687,681,Pernambuco,25.426731224550135,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000008,3,186.74472670837886,682,Piaui,25.504133872538993,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000009,3,94.89275675234047,683,Rio De Janeiro,24.657056473684673,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000a,3,225.10833768089338,684,Rio Grande Do Norte,26.430808986844767,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c1,3,123.5582617016387,685,Rio Grande Do Sul,24.103892552580813,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c2,3,267.3289196025865,686,Rondonia,24.742500103619626,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c3,3,70.21780419923094,687,Roraima,26.130289191211954,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c4,3,150.93169734559228,688,Santa Catarina,21.28575085885667,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000b,3,188.33154494887816,689,Sao Paulo,23.93444624683949,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000c,3,93.23907188818123,690,Sergipe,26.095523140151077,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c5,3,300.93458244930747,691,Tocantins,25.34470184108959,2023,202303,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000b8,4,239.97463558472285,665,Acre,24.793776922816747,2023,202304,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,4,111.30016221892187,666,Alagoas,25.706780224773826,2023,202304,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000b9,4,258.9067330176608,667,Amapa,25.08116048663315,2023,202304,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000ba,4,313.2726392656232,668,Amazonas,25.648912690311924,2023,202304,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,4,68.66585853583852,669,Bahia,25.059812599773814,2023,202304,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,4,175.95794356951308,670,Ceara,25.07506997085529,2023,202304,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000bb,4,148.84834546288428,671,Distrito Federal,21.72078289530624,2023,202304,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,4,103.05229851240414,672,Espirito Santo,23.738349402053277,2023,202304,"{""type"":""MultiPoint"",""coordinates"":[]}"
