system:index,month,precip_mm,state_code,state_name,year,yyyymm,.geo
0_000300000000000000b8,1,229.8530692362544,665,Acre,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,1,172.08140310472945,666,Alagoas,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000b9,1,313.86851979888894,667,Amapa,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000ba,1,259.42542875751354,668,Amazonas,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,1,233.1335518173002,669,Bahia,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,1,215.81446629242137,670,Ceara,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bb,1,212.3248141320257,671,Distrito Federal,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,1,177.604356031151,672,Espirito Santo,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bc,1,300.29447944539453,673,Goias,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,1,334.9553898239214,674,Maranhao,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bd,1,283.887133803748,675,Mato Grosso,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000be,1,152.84166872473844,676,Mato Grosso Do Sul,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,1,240.92123390909413,677,Minas Gerais,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,1,,692,Name Unknown,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bf,1,288.35922686962255,678,Para,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,1,184.06006044301233,679,Paraiba,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c0,1,244.53742645821515,680,Parana,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,1,199.54485316167074,681,Pernambuco,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,1,281.69013606416456,682,Piaui,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,1,189.79987181344185,683,Rio De Janeiro,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,1,167.39097021568088,684,Rio Grande Do Norte,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c1,1,118.70950229096582,685,Rio Grande Do Sul,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c2,1,276.2251134036601,686,Rondonia,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c3,1,48.815631767840635,687,Roraima,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c4,1,178.40978379851728,688,Santa Catarina,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,1,262.7974098919021,689,Sao Paulo,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,1,174.6764550105677,690,Sergipe,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c5,1,385.71906115824083,691,Tocantins,2002,200201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b8,2,290.7279845575374,665,Acre,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,2,95.60648272444159,666,Alagoas,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b9,2,373.94475918422563,667,Amapa,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000ba,2,266.2472315698542,668,Amazonas,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,2,100.26045389260457,669,Bahia,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,2,55.30670946877074,670,Ceara,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bb,2,205.5177042212532,671,Distrito Federal,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,2,162.53718791522286,672,Espirito Santo,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bc,2,248.43985410474082,673,Goias,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,2,138.65804028615156,674,Maranhao,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bd,2,309.5462699973777,675,Mato Grosso,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000be,2,195.5706929655118,676,Mato Grosso Do Sul,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,2,238.51946623174229,677,Minas Gerais,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d,2,,692,Name Unknown,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bf,2,239.12959640865196,678,Para,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,2,77.56783993059604,679,Paraiba,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c0,2,109.87317635714992,680,Parana,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,2,66.78423407860085,681,Pernambuco,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,2,68.35520558503964,682,Piaui,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009,2,188.883544919663,683,Rio De Janeiro,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a,2,87.4719009955865,684,Rio Grande Do Norte,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c1,2,87.53492062975783,685,Rio Grande Do Sul,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c2,2,269.965053952176,686,Rondonia,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c3,2,34.08990487352237,687,Roraima,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c4,2,104.10840335827419,688,Santa Catarina,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000b,2,209.31469504776612,689,Sao Paulo,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c,2,77.46252948883522,690,Sergipe,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c5,2,202.06090468196575,691,Tocantins,2002,200202,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000b8,3,251.63632866650147,665,Acre,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,3,86.24798429291891,666,Alagoas,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000b9,3,455.31747159664803,667,Amapa,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000ba,3,306.55421936376996,668,Amazonas,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,3,54.00273737915672,669,Bahia,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,3,204.33464003746806,670,Ceara,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bb,3,136.8749916365353,671,Distrito Federal,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,3,71.51766591757386,672,Espirito Santo,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bc,3,160.3235097018252,673,Goias,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,3,266.80108718189325,674,Maranhao,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bd,3,216.99634029954265,675,Mato Grosso,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000be,3,106.7635439953593,676,Mato Grosso Do Sul,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,3,93.54029108781144,677,Minas Gerais,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000d,3,,692,Name Unknown,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bf,3,315.0885496773185,678,Para,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,3,186.61092244855428,679,Paraiba,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c0,3,99.05880179563984,680,Parana,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000007,3,111.54907951177825,681,Pernambuco,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000008,3,157.62848071557804,682,Piaui,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000009,3,84.1373482736612,683,Rio De Janeiro,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000a,3,194.09193724249008,684,Rio Grande Do Norte,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c1,3,227.8978163702412,685,Rio Grande Do Sul,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c2,3,231.10003826153354,686,Rondonia,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c3,3,177.20586564775328,687,Roraima,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c4,3,138.7152188247964,688,Santa Catarina,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000b,3,117.44969669962994,689,Sao Paulo,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000c,3,51.96371488262688,690,Sergipe,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c5,3,203.57547376684352,691,Tocantins,2002,200203,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000b8,4,223.85174545894205,665,Acre,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,4,75.23206240102407,666,Alagoas,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000b9,4,481.18311622087765,667,Amapa,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000ba,4,304.6494000182412,668,Amazonas,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,4,43.275526889122176,669,Bahia,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,4,178.1211097011701,670,Ceara,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000bb,4,45.62169333120305,671,Distrito Federal,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,4,47.851113114229314,672,Espirito Santo,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000bc,4,32.966768005127314,673,Goias,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000004,4,244.35076322862602,674,Maranhao,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000bd,4,87.67498745631589,675,Mato Grosso,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000be,4,31.068720602786698,676,Mato Grosso Do Sul,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000005,4,20.873824944338526,677,Minas Gerais,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000d,4,,692,Name Unknown,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000bf,4,318.5219848048515,678,Para,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000006,4,93.38927149145023,679,Paraiba,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000c0,4,41.14853105070272,680,Parana,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000007,4,61.282006566004824,681,Pernambuco,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000008,4,116.42688771741592,682,Piaui,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000009,4,34.55410095708528,683,Rio De Janeiro,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000a,4,130.17572415761023,684,Rio Grande Do Norte,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000000c1,4,191.08934727459135,685,Rio Grande Do Sul,2002,200204,"{""type"":""MultiPoint"",""coordinates"":[]}"
