system:index,month,precip_mm,state_code,state_name,year,yyyymm,.geo
0_000300000000000000b8,1,385.140415175958,665,Acre,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,1,21.528017352761037,666,Alagoas,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000b9,1,349.4566585874059,667,Amapa,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000ba,1,334.6164764965184,668,Amazonas,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,1,73.2705020813057,669,Bahia,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,1,84.731767673933,670,Ceara,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bb,1,147.13690560769672,671,Distrito Federal,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,1,79.49721076850365,672,Espirito Santo,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bc,1,221.0787657492005,673,Goias,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,1,183.74881333195407,674,Maranhao,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bd,1,265.6701119886416,675,Mato Grosso,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000be,1,201.90821451852352,676,Mato Grosso Do Sul,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,1,190.70097064841494,677,Minas Gerais,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,1,,692,Name Unknown,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bf,1,295.36359411807075,678,Para,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,1,49.550319184495876,679,Paraiba,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c0,1,202.87053545711535,680,Parana,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,1,63.03828093053594,681,Pernambuco,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,1,156.61863683836893,682,Piaui,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,1,213.90470256289564,683,Rio De Janeiro,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,1,38.04551777622137,684,Rio Grande Do Norte,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c1,1,82.25458194647489,685,Rio Grande Do Sul,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c2,1,326.6402768548043,686,Rondonia,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c3,1,201.8933536862414,687,Roraima,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c4,1,187.26601271583846,688,Santa Catarina,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,1,335.56477714676413,689,Sao Paulo,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,1,15.06939306350445,690,Sergipe,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c5,1,258.015268166418,691,Tocantins,1999,199901,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b8,2,278.16394254698054,665,Acre,1999,199902,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,2,32.522087193089256,666,Alagoas,1999,199902,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b9,2,349.4651839533467,667,Amapa,1999,199902,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000ba,2,285.80937899916694,668,Amazonas,1999,199902,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,2,93.91042941859266,669,Bahia,1999,199902,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,2,102.64719133942,670,Ceara,1999,199902,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bb,2,108.38121142569769,671,Distrito Federal,1999,199902,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,2,49.22321663072963,672,Espirito Santo,1999,199902,"{""type"":""MultiPoint"",""coordinates"":[]}"
