system:index,month,precip_mm,state_code,state_name,year,yyyymm,.geo
0_000300000000000000b8,1,297.29200936785617,665,Acre,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,1,64.00000353824856,666,Alagoas,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000b9,1,329.600597936382,667,Amapa,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000ba,1,283.5616906167249,668,Amazonas,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,1,95.62157949563311,669,Bahia,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,1,66.3575940482281,670,Ceara,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bb,1,210.2339596022542,671,Distrito Federal,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,1,183.02531795643372,672,Espirito Santo,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bc,1,271.41597730801203,673,Goias,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,1,218.65823131681574,674,Maranhao,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bd,1,353.2398325113619,675,Mato Grosso,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000be,1,232.36839966158263,676,Mato Grosso Do Sul,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,1,230.92724057838106,677,Minas Gerais,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,1,,692,Name Unknown,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bf,1,289.17330792854705,678,Para,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,1,68.14514439051177,679,Paraiba,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c0,1,191.15169828082648,680,Parana,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,1,72.51787698796424,681,Pernambuco,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,1,144.19808324766785,682,Piaui,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,1,187.26066838350386,683,Rio De Janeiro,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,1,44.875701063565884,684,Rio Grande Do Norte,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c1,1,155.965342817912,685,Rio Grande Do Sul,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c2,1,323.3764397066193,686,Rondonia,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c3,1,51.23369510813584,687,Roraima,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c4,1,167.256325294415,688,Santa Catarina,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,1,249.45349292082372,689,Sao Paulo,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,1,47.99804743675959,690,Sergipe,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c5,1,303.281961849333,691,Tocantins,1981,198101,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b8,2,251.32973948487117,665,Acre,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,2,26.90313532730376,666,Alagoas,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b9,2,284.0561926443258,667,Amapa,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000ba,2,291.6088260359983,668,Amazonas,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,2,31.024783963971128,669,Bahia,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,2,51.442275176098235,670,Ceara,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bb,2,68.91975047642745,671,Distrito Federal,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,2,93.54265124049098,672,Espirito Santo,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bc,2,93.35169643873527,673,Goias,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,2,134.60982021715847,674,Maranhao,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bd,2,244.1914906787016,675,Mato Grosso,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000be,2,149.50747668823092,676,Mato Grosso Do Sul,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,2,62.21975252075581,677,Minas Gerais,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d,2,,692,Name Unknown,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bf,2,251.2877552441064,678,Para,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,2,44.258723626514836,679,Paraiba,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c0,2,149.22489349857793,680,Parana,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,2,23.219431369017595,681,Pernambuco,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,2,51.017445657781984,682,Piaui,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009,2,96.51843524701835,683,Rio De Janeiro,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a,2,50.68556421359554,684,Rio Grande Do Norte,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c1,2,190.8763987735989,685,Rio Grande Do Sul,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c2,2,277.7159345044762,686,Rondonia,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c3,2,117.96372047999405,687,Roraima,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c4,2,162.47526512428632,688,Santa Catarina,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000b,2,115.8084220984474,689,Sao Paulo,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c,2,30.948274144488693,690,Sergipe,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c5,2,129.88274059812758,691,Tocantins,1981,198102,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000b8,3,272.3415593456353,665,Acre,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,3,210.29727326381484,666,Alagoas,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000b9,3,181.24453877323518,667,Amapa,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000ba,3,267.2224509647019,668,Amazonas,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,3,296.3674568025307,669,Bahia,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,3,317.8027648696031,670,Ceara,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bb,3,290.81914059243104,671,Distrito Federal,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,3,197.62123757889913,672,Espirito Santo,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bc,3,275.7192829491213,673,Goias,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,3,244.69886422476688,674,Maranhao,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bd,3,351.28807049730204,675,Mato Grosso,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000be,3,74.41082516978953,676,Mato Grosso Do Sul,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,3,212.05125281910514,677,Minas Gerais,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000d,3,,692,Name Unknown,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bf,3,218.39357051677155,678,Para,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,3,324.33875405547286,679,Paraiba,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000c0,3,84.85028293371933,680,Parana,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000007,3,270.2125692160049,681,Pernambuco,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000008,3,315.9774272460193,682,Piaui,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000009,3,153.72903178788013,683,Rio De Janeiro,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}"
