system:index,month,precip_mm,state_code,state_name,year,yyyymm,.geo
0_000300000000000000b8,1,262.8147863413353,665,Acre,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,1,23.198269558412598,666,Alagoas,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000b9,1,233.09178480313685,667,Amapa,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000ba,1,302.3115447993609,668,Amazonas,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,1,65.4116183939241,669,Bahia,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,1,38.138341765926505,670,Ceara,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bb,1,135.7025435780942,671,Distrito Federal,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,1,139.42682790331827,672,Espirito Santo,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bc,1,138.26249799836535,673,Goias,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,1,141.62771172482914,674,Maranhao,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bd,1,207.08634658611584,675,Mato Grosso,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000be,1,163.7715809691851,676,Mato Grosso Do Sul,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,1,142.89353626349413,677,Minas Gerais,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000d,1,,692,Name Unknown,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000bf,1,233.34373335785875,678,Para,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,1,28.90348180728282,679,Paraiba,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c0,1,222.53708209930653,680,Parana,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,1,37.37091798707712,681,Pernambuco,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000008,1,98.20414199427701,682,Piaui,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,1,150.38909675739401,683,Rio De Janeiro,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,1,23.39801926262709,684,Rio Grande Do Norte,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c1,1,244.19253595548747,685,Rio Grande Do Sul,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c2,1,329.17865616053723,686,Rondonia,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c3,1,99.05045825986542,687,Roraima,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c4,1,242.68940799337844,688,Santa Catarina,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,1,203.56515860282295,689,Sao Paulo,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000c,1,17.905117380937423,690,Sergipe,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000300000000000000c5,1,136.21388850143572,691,Tocantins,1993,199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b8,2,247.94413693873943,665,Acre,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,2,13.310529546330212,666,Alagoas,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000b9,2,247.39996640025095,667,Amapa,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000ba,2,302.42827363758596,668,Amazonas,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,2,83.77272194693896,669,Bahia,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,2,75.36275778670051,670,Ceara,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bb,2,276.2233358775629,671,Distrito Federal,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,2,70.77087530784635,672,Espirito Santo,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bc,2,269.0176312374566,673,Goias,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,2,214.14186462954666,674,Maranhao,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bd,2,327.59260893821005,675,Mato Grosso,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000be,2,148.55584207190853,676,Mato Grosso Do Sul,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,2,183.65312330134793,677,Minas Gerais,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d,2,,692,Name Unknown,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000bf,2,329.56195769380867,678,Para,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006,2,34.89686178500684,679,Paraiba,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c0,2,163.9596337480534,680,Parana,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007,2,30.117305486863117,681,Pernambuco,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008,2,137.28771798617842,682,Piaui,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009,2,170.51879596171995,683,Rio De Janeiro,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a,2,17.19072539901033,684,Rio Grande Do Norte,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c1,2,91.64964281258716,685,Rio Grande Do Sul,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c2,2,301.00250112963016,686,Rondonia,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c3,2,92.9507406625016,687,Roraima,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c4,2,196.27865620911123,688,Santa Catarina,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000b,2,290.6181630009203,689,Sao Paulo,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c,2,15.096409958626525,690,Sergipe,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000300000000000000c5,2,298.08928777244216,691,Tocantins,1993,199302,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000b8,3,242.63243355814575,665,Acre,1993,199303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,3,11.455909433648989,666,Alagoas,1993,199303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000b9,3,400.4160801677999,667,Amapa,1993,199303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000ba,3,343.6924319482726,668,Amazonas,1993,199303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,3,18.326030266647933,669,Bahia,1993,199303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,3,100.84833306918516,670,Ceara,1993,199303,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000000bb,3,79.61752749703649,671,Distrito Federal,1993,199303,"{""type"":""MultiPoint"",""coordinates"":[]}"
